"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Nick Senzel","CIN","36","111","124","28","23","4","0","1","18","8","12","0","16","0","1","0","3","2","5",".252","19293"
"Josh Donaldson","MIN","72","238","285","60","32","14","0","14","40","37","40","1","56","1","6","0","12","0","0",".252","5038"
"Ehire Adrianza","ATL","68","127","148","32","20","6","2","4","21","23","16","0","27","1","3","1","4","0","0",".252","8418"
"Manuel Margot","TBR","76","270","290","68","47","10","2","9","32","44","18","1","44","0","2","0","1","9","4",".252","14712"
"Jose Abreu","CHW","86","318","369","80","48","15","1","16","46","69","33","0","87","11","7","0","14","1","0",".252","15676"
"Jorge Polanco","MIN","85","322","359","81","50","18","1","12","49","43","29","0","53","4","4","0","1","7","4",".252","13152"
"Wilmer Flores","SFG","81","231","262","58","39","9","1","9","35","30","27","0","35","2","2","0","8","1","0",".251","5827"
"Jazz Chisholm","MIA","71","263","291","66","42","10","3","11","38","34","23","0","90","3","1","1","2","11","6",".251","20454"
"David Peralta","ARI","88","307","341","77","49","18","6","4","32","41","32","2","53","2","0","0","7","1","1",".251","2136"
"Dylan Carlson","STL","91","335","383","84","57","17","3","7","46","31","38","1","96","6","4","0","3","0","0",".251","20126"
"Dexter Fowler","LAA","7","20","21","5","5","0","0","0","3","1","1","0","6","0","0","0","0","1","0",".250","4062"
"Ji-Man Choi","TBR","39","120","144","30","20","6","0","4","16","20","22","0","39","2","0","0","1","0","0",".250","5452"
"Yadier Molina","STL","71","256","275","64","42","14","0","8","26","40","16","1","47","1","2","0","6","2","0",".250","7007"
"Josh Bell","WSN","76","260","285","65","39","14","0","12","41","43","23","1","62","1","1","0","8","0","0",".250","13145"
"Patrick Kivlehan","SDP","5","4","8","1","1","0","0","0","3","2","2","0","3","1","1","0","0","0","0",".250","13910"
"Derek Fisher","MIL","4","8","8","2","1","0","1","0","1","1","0","0","1","0","0","0","0","0","0",".250","16192"
"Braden Bishop","SEA","8","4","5","1","1","0","0","0","1","0","0","0","2","0","0","1","0","0","0",".250","17806"
"Brian Anderson","MIA","36","124","136","31","22","6","0","3","13","11","12","1","36","0","0","0","1","3","0",".250","18289"
"Ryan Mountcastle","BAL","86","312","339","78","49","14","1","14","40","50","20","0","97","3","4","0","6","3","2",".250","18373"
"Josh Palacios","TOR","10","28","35","7","7","0","0","0","7","4","3","0","7","2","1","1","0","0","0",".250","19818"
"Jonathan Arauz","BOS","4","8","10","2","1","1","0","0","2","1","2","0","3","0","0","0","1","0","0",".250","20275"
"Luis Gonzalez","CHW","6","8","11","2","0","2","0","0","2","0","3","0","2","0","0","0","1","0","0",".250","20332"
"Freddy Galvis","BAL","72","249","274","62","40","12","1","9","36","26","18","1","58","3","1","2","5","1","0",".249","6609"
"Joey Votto","CIN","64","229","262","57","35","10","1","11","27","40","31","1","63","2","0","0","5","1","0",".249","4314"
"Eduardo Escobar","ARI","91","342","368","85","50","12","2","21","48","62","25","1","79","0","1","0","1","1","0",".249","6153"
"Edmundo Sosa","STL","60","149","168","37","30","4","1","2","19","8","7","1","28","10","0","1","3","3","4",".248","17022"
"Garrett Hampson","COL","87","290","315","72","44","17","5","6","42","21","19","1","75","2","2","2","4","13","3",".248","19262"
"C.J. Cron","COL","77","242","287","60","34","12","1","13","36","39","34","0","63","9","2","0","4","0","0",".248","12546"
"Brad Miller","PHI","75","162","183","40","26","4","1","9","28","25","21","2","61","0","0","0","4","3","0",".247","12775"
"Austin Hays","BAL","62","227","250","56","34","11","2","9","38","31","16","0","50","4","1","2","5","1","0",".247","19363"
